Var_ID,Variant,Ref_Modal,Variant_Slug,Var_Location,Price,Modal_ID,Ref_Brand,Engine,Cylinders,Drive_Type,Fuel_Tank,Fuel_Economy,Fuel_Type,Horsepower,Torque,Transmission,Seating_Capacity,Acceleration,Battery_Size,Battery_Range,Motor,Top_Speed,Featured_Image,Gallery,Status,Created_At
1,"1.4T Competizione (Hard-Top)",595,1-4t-competizione-hard-top,KSA,"1,30,000",1,302,1.4,4,"Front Wheel Drive",35,5.8,Petrol,175,250,Automatic,"4 Seater",6.9,,,,225,Abarth-595-2024-1.4T-Competizione-Hard-Top,Abarth-595-2024-1.4T-Competizione-Hard-Top,Publish,"0000-00-00 00:00:00"
2,"1.4T Competizione (Convertible)",595,1-4t-competizione-convertible,KSA,"1,40,000",2,302,1.4,4,"Front Wheel Drive",35,5.8,Petrol,175,250,Automatic,"4 Seater",6.9,,,,225,Abarth-595-2024-1.4T-Competizione-Convertible,Abarth-595-2024-1.4T-Competizione-Convertible,Publish,"0000-00-00 00:00:00"
3,"1.4T scorpioneoro",595,1-4t-scorpioneoro,KSA,TBD,3,302,1.4,4,"Front Wheel Drive",35,5.8,Petrol,162,230,Automatic,"4 Seater",7.3,,,,225,Abarth-595-2024-1.4T-scorpioneoro,Abarth-595-2024-1.4T-scorpioneoro,Publish,"0000-00-00 00:00:00"
4,"1.4T Turismo (Hard-Top)",695,1-4t-turismo-hard-top,KSA,"1,40,999",4,302,1.4,4,"Front Wheel Drive",35,5.8,Petrol,180,250,Automatic,"4 Seater",6.9,,,,225,Abarth-695-2024-1.4T-Turismo-Hard-Top,Abarth-695-2024-1.4T-Turismo-Hard-Top,Publish,"0000-00-00 00:00:00"
5,"1.4T Turismo (Convertible)",695,1-4t-turismo-convertible,KSA,"1,48,099",5,302,1.4,4,"Front Wheel Drive",35,5.8,Petrol,180,250,Automatic,"4 Seater",6.9,,,,225,Abarth-695-2024-1.4T-Turismo-Convertible,Abarth-695-2024-1.4T-Turismo-Convertible,Publish,"0000-00-00 00:00:00"
6,Veloce,Giulia,veloce,KSA,"2,47,899",6,297,2,4,"All Wheel Drive",64,8.9,Petrol,280,400,Automatic,"5 Seater",5.7,,,,230,Alfa-Romeo-Giulia-2024-Veloce,Alfa-Romeo-Giulia-2024-Veloce,Publish,"0000-00-00 00:00:00"
7,Quadrifoglio,Giulia,quadrifoglio,KSA,TBD,7,297,2.9,6,"Rear Wheel Drive",58,,Petrol,505,600,Automatic,"5 Seater",,,,,,Alfa-Romeo-Giulia-2024-Quadrifoglio,Alfa-Romeo-Giulia-2024-Quadrifoglio,Publish,"0000-00-00 00:00:00"
8,Quadrifoglio,Stelvio,quadrifoglio,KSA,TBD,8,297,2.9,6,"All Wheel Drive",64,9,Petrol,510,600,Automatic,"5 Seater",3.8,,,,283,Alfa-Romeo-Stelvio-2024-Quadrifoglio,Alfa-Romeo-Stelvio-2024-Quadrifoglio,Publish,"0000-00-00 00:00:00"
9,Veloce,Stelvio,veloce,KSA,DISCONTINUED,9,297,1.8,4,"Front Wheel Drive",60,7.5,Petrol,241,340,Automatic,"5 Seater",6,,,,244,Alfa-Romeo-Stelvio-2024-Veloce,Alfa-Romeo-Stelvio-2024-Veloce,Publish,"0000-00-00 00:00:00"
10,Veloce,Tonale,veloce,KSA,"2,85,099",10,297,2,4,"All Wheel Drive",,,Petrol,268,400,Automatic,"5 Seater",,,,,,Alfa-Romeo-Tonale-2024-Veloce,Alfa-Romeo-Tonale-2024-Veloce,Publish,"0000-00-00 00:00:00"
